chain,date,inflow_usd,outflow_usd,tx_count
Arbitrum Inbox,2025-12-20,4336808.236649346,0,12
Optimism,2025-12-20,454907.79813406896,454907.79813406896,2
Polygon,2025-12-20,2031187.7076008033,1929892.9540670589,9
Arbitrum Inbox,2025-12-21,3697798.3365151947,0,3
Polygon,2025-12-21,495639.62168878806,603712.1685025789,5
Arbitrum Inbox,2025-12-22,12528185.390132902,85568933.33333331,24
Optimism,2025-12-22,1321620.5917334356,1073334.671791,9
Polygon,2025-12-22,55840572.47895612,55820272.104337,30
Arbitrum Inbox,2025-12-23,10926644.433090173,441176.25000000023,8
Optimism,2025-12-23,6246206.698793491,6327951.921061341,4
Polygon,2025-12-23,71599098.3089853,71599098.30898526,64
Arbitrum Inbox,2025-12-24,7733481.087632504,55897715.00000003,11
Optimism,2025-12-24,1592842.2947833657,14526702.419107368,9
Polygon,2025-12-24,4046097.884478338,3946768.879067296,28
Arbitrum Inbox,2025-12-25,6732567.4391969405,0,12
Optimism,2025-12-25,1443692.8160653778,131609.7106749329,4
Polygon,2025-12-25,1774209.3327162843,1774209.3327162843,12
Arbitrum Inbox,2025-12-26,8405930.01675288,9084926.71805,17
Optimism,2025-12-26,399020.68130399333,1275587.641507356,5
Polygon,2025-12-26,2569070.347733277,7477976.849526506,41
Arbitrum Inbox,2025-12-27,5303671.462992126,4215617.4577916665,12
Optimism,2025-12-27,1130736.1095479063,0,2
Polygon,2025-12-27,36451891.302757315,36599091.45047862,23
Arbitrum Inbox,2025-12-28,1268271.778024945,4334758.850583335,5
Polygon,2025-12-28,2417942.7379072285,2737593.7661537654,18
Arbitrum Inbox,2025-12-29,3197660.234422848,33476950.772416666,8
Optimism,2025-12-29,2118490.726593883,561789.9201894883,12
Polygon,2025-12-29,17537865.045586754,17430702.44239913,24
Arbitrum Inbox,2025-12-30,14027831.434829764,48392014.66717133,26
Optimism,2025-12-30,8720672.831203215,11169626.37338159,18
Polygon,2025-12-30,4405057.710263268,8699250.014716718,59
Arbitrum Inbox,2025-12-31,9783113.782345012,1272598.2333000004,11
Optimism,2025-12-31,485395.6073668748,0,3
Polygon,2025-12-31,3206443.566578779,4288812.314080786,26
Arbitrum Inbox,2026-01-01,12513878.788167799,0,11
Optimism,2026-01-01,2431099.924078023,2702664.1880631074,11
Polygon,2026-01-01,5778403.081545111,5673364.219376529,35
Arbitrum Inbox,2026-01-02,122206.8398979005,39451396.207333334,5
Optimism,2026-01-02,3049297.320572214,2167437.831578072,6
Polygon,2026-01-02,7656781.947225061,7562017.603607789,47
Arbitrum Inbox,2026-01-03,3403522.2127624387,0,12
Optimism,2026-01-03,364903.075853102,525298.8801788918,3
Polygon,2026-01-03,3158392.644646325,3052473.9569308264,15
Arbitrum Inbox,2026-01-04,801560.9660954706,0,3
Polygon,2026-01-04,5796568.859396778,5429996.775507075,18
Arbitrum Inbox,2026-01-05,3251192.8001062274,32409600.000000004,15
Optimism,2026-01-05,0,100174.70928294849,1
Polygon,2026-01-05,5875181.328151335,7277259.024348797,36
Arbitrum Inbox,2026-01-06,9138199.307519095,3217143.1114916666,15
Optimism,2026-01-06,1340134.1405344063,296959.16276596347,3
Polygon,2026-01-06,42082796.034362495,42251212.448304474,31
Arbitrum Inbox,2026-01-07,13699818.15585389,15918237.7489,14
Optimism,2026-01-07,6217345.660557767,2394564.831318526,9
Polygon,2026-01-07,9090556.837339781,9564107.61781261,47
Arbitrum Inbox,2026-01-08,24037172.970735464,0,11
Optimism,2026-01-08,5798019.368007162,4670262.750724085,13
Polygon,2026-01-08,22744283.406742394,22626722.961068578,38
Arbitrum Inbox,2026-01-09,24353390.575832732,40399473.6229391,18
Optimism,2026-01-09,1012901.158397522,1012901.158397522,12
Polygon,2026-01-09,14733758.252960663,12676679.70343989,100
Arbitrum Inbox,2026-01-10,18830241.73432443,1899893.2320333335,10
Optimism,2026-01-10,533826.8426572464,3632412.796601332,11
Polygon,2026-01-10,75762083.18386579,55533397.1205097,148
Arbitrum Inbox,2026-01-11,725534.6968278722,0,4
Optimism,2026-01-11,231655.46172206983,341603.11088873644,5
Polygon,2026-01-11,11695562.645877052,11539650.408431364,65
Arbitrum Inbox,2026-01-12,11121508.738193959,0,10
Optimism,2026-01-12,2201263.9944691076,968553.6412091325,17
Polygon,2026-01-12,10433074.501692299,8193541.734960922,73
Arbitrum Inbox,2026-01-13,7404094.670320157,47065375,15
Optimism,2026-01-13,769285.863715627,10898309.381083129,13
Polygon,2026-01-13,25231751.968194425,19146048.476954043,68
Arbitrum Inbox,2026-01-14,10407487.393714184,245808.8281575,19
Optimism,2026-01-14,2559410.892999999,4873322.041559466,6
Polygon,2026-01-14,45646736.91183207,43727865.27279399,61
Arbitrum Inbox,2026-01-15,7010373.349376842,18939536.848933335,19
Optimism,2026-01-15,2338288.2496969053,1218060.4617804468,4
Polygon,2026-01-15,21485408.03027782,21485408.030277815,102
Arbitrum Inbox,2026-01-16,19338214.794498455,65528533.33333333,13
Optimism,2026-01-16,261498.94443568378,261498.94443568378,4
Polygon,2026-01-16,12207478.002516976,11456935.432293134,63
Arbitrum Inbox,2026-01-17,2420458.385118639,0,7
Optimism,2026-01-17,0,1032285.6552514033,3
Polygon,2026-01-17,32062774.70732269,31607647.44907269,111
Arbitrum Inbox,2026-01-18,1705115.002096897,834998.9583333335,10
Optimism,2026-01-18,108949.87765641956,289354.5993230862,3
Polygon,2026-01-18,11548517.76250181,4759712.356807788,42
Arbitrum Inbox,2026-01-19,12800811.910874093,35332320.83333335,22
Optimism,2026-01-19,36498623.94898696,6132263.469963005,32
Polygon,2026-01-19,20342197.19549436,19925325.44549436,93
Arbitrum Inbox,2026-01-20,9646945.592500063,0,20
Optimism,2026-01-20,10805850.710284151,1816208.8493066584,32
Polygon,2026-01-20,31219579.0463376,32032214.69741992,193
Arbitrum Inbox,2026-01-21,26129459.739386126,56505113.33333332,17
Optimism,2026-01-21,10177135.776439596,2017727.3768621497,9
Polygon,2026-01-21,61932532.0611912,61826353.62178638,117
Arbitrum Inbox,2026-01-22,24836773.135337073,13842439.524999999,21
Optimism,2026-01-22,803756.5692571867,3798316.9828455206,15
Polygon,2026-01-22,20366944.60926582,20264839.130911265,123
Arbitrum Inbox,2026-01-23,27460136.932218127,7444695.295608332,18
Optimism,2026-01-23,6232199.988978127,493760.84894864005,12
Polygon,2026-01-23,54653589.452302486,57997297.89674522,95
Arbitrum Inbox,2026-01-24,3573639.3349735104,0,7
Optimism,2026-01-24,5450922.234033468,165922.05666666667,4
Polygon,2026-01-24,9649429.625779238,12965685.466929588,72
Arbitrum Inbox,2026-01-25,2169406.2368074264,0,3
Optimism,2026-01-25,590866.228467729,246361.45679422485,5
Polygon,2026-01-25,8609787.17604252,3079483.5916815517,35
Arbitrum Inbox,2026-01-26,17833477.627316456,0,19
Optimism,2026-01-26,7640318.865578033,1411906.307935352,18
Polygon,2026-01-26,14989223.70198625,14094179.972768791,82
Arbitrum Inbox,2026-01-27,24792279.966295395,823676.658131522,12
Optimism,2026-01-27,28644281.62056835,22826553.899734512,23
Polygon,2026-01-27,19322972.762161687,19179343.322161686,95
Arbitrum Inbox,2026-01-28,22565495.174845386,484717.1966698755,13
Optimism,2026-01-28,2936789.7280444563,641239.499784282,12
Polygon,2026-01-28,9643364.215662802,9490882.783116458,69
Arbitrum Inbox,2026-01-29,22044814.089496,0,20
Optimism,2026-01-29,1576204.9276323076,21580401.11011327,18
Polygon,2026-01-29,23058054.86030971,22600657.488347404,152
Arbitrum Inbox,2026-01-30,11237079.15954668,28219191.685139995,12
Optimism,2026-01-30,8845819.187005296,8845819.187005296,14
Polygon,2026-01-30,49097403.768319614,49097403.76831961,118
Arbitrum Inbox,2026-01-31,10795234.942790035,0,12
Optimism,2026-01-31,1666328.4006173704,1197703.3151590792,21
Polygon,2026-01-31,30295060.349337026,30162833.86507908,195
Arbitrum Inbox,2026-02-01,5718179.717884075,0,7
Optimism,2026-02-01,7224054.329036289,7224054.329036289,4
Polygon,2026-02-01,13021237.79700665,12487216.652481118,74
Arbitrum Inbox,2026-02-02,21250959.997480717,0,15
Optimism,2026-02-02,113800.91053333336,113800.91053333336,2
Polygon,2026-02-02,10986404.097306157,11854808.563923268,62
Arbitrum Inbox,2026-02-03,15647728.512772882,37395992.91805834,13
Optimism,2026-02-03,7160619.189723985,11798698.14265892,17
Polygon,2026-02-03,18008314.23889076,17386943.750271518,102
Arbitrum Inbox,2026-02-04,13648664.571011057,31082714.06855,17
Optimism,2026-02-04,5529770.082608334,14957350.661352018,10
Polygon,2026-02-04,37355264.67943202,34072023.284118146,66
Arbitrum Inbox,2026-02-05,20920633.050037283,1646017.3005976502,23
Optimism,2026-02-05,9086498.3762115,11720138.5482443,26
Polygon,2026-02-05,57825688.109653905,56645651.99442118,104
Arbitrum Inbox,2026-02-06,9035692.493337255,2119812.4116,10
Optimism,2026-02-06,1895092.3380923942,7046054.798598571,9
Polygon,2026-02-06,10949981.9307645,13553332.504973385,71
Arbitrum Inbox,2026-02-07,4797938.01191343,0,7
Optimism,2026-02-07,1110042.976825,4979392.564116476,6
Polygon,2026-02-07,3151818.5720261484,2160481.9077846515,22
Arbitrum Inbox,2026-02-08,1401997.5669681476,1062783.2926284731,5
Optimism,2026-02-08,5647949.738913788,5647949.738913789,10
Polygon,2026-02-08,11823026.678697858,11844925.282364413,46
Arbitrum Inbox,2026-02-09,6507647.694111784,0,10
Optimism,2026-02-09,450735.4357769976,15942594.734302709,7
Polygon,2026-02-09,8496013.12205757,8631052.598428607,63
Arbitrum Inbox,2026-02-10,21274198.582217943,40315400,18
Optimism,2026-02-10,16344500.251514543,16344500.251514543,12
Polygon,2026-02-10,6734310.756341137,10161571.688031372,69
Arbitrum Inbox,2026-02-11,16451883.844168756,29096598.390708994,25
Optimism,2026-02-11,14642035.791005237,18612569.76711585,15
Polygon,2026-02-11,8321859.981621267,8047822.704296446,56
Arbitrum Inbox,2026-02-12,3382484.3570325593,28359985.22969929,9
Optimism,2026-02-12,9854030.379265236,10777459.193467472,11
Polygon,2026-02-12,2413161.675099531,2413161.675099531,16
Arbitrum Inbox,2026-02-13,26361518.77076134,26470093.258526664,16
Optimism,2026-02-13,5129942.539838046,4579199.691157032,9
Polygon,2026-02-13,6797774.460230596,5737533.191087835,38
Arbitrum Inbox,2026-02-14,1366403.868790981,3529180.4125000006,4
Optimism,2026-02-14,2216964.730959466,1521961.031350643,9
Polygon,2026-02-14,5002453.593321148,5002453.593321148,30
Arbitrum Inbox,2026-02-15,4178426.1168511612,139441.87900000002,17
Optimism,2026-02-15,472276.690720403,472276.690720403,4
Polygon,2026-02-15,11330736.796004789,11322028.602941964,40
Arbitrum Inbox,2026-02-16,16177371.52078382,61908693.16503333,6
Optimism,2026-02-16,6921248.8848749995,8303867.050921608,8
Polygon,2026-02-16,13456771.408308892,13432296.801521834,26
Arbitrum Inbox,2026-02-17,2561068.8531731237,27770260.166666668,4
Optimism,2026-02-17,2216380.723333333,2216380.723333333,6
Polygon,2026-02-17,52978626.60437142,52825144.65481152,45
Arbitrum Inbox,2026-02-18,10180387.284343472,25847921.66666666,9
Optimism,2026-02-18,2103097.9099751315,2515562.9880576315,5
Polygon,2026-02-18,8458079.24444286,8166228.6631845,41
Arbitrum Inbox,2026-02-19,15785189.452762067,0,8
Optimism,2026-02-19,16141663.938047139,14720850.773020595,8
Polygon,2026-02-19,5702326.166918251,3480692.927825554,34
Arbitrum Inbox,2026-02-20,139112.23145791513,21493770.833333336,2
Optimism,2026-02-20,3274988.711302605,3610990.765803835,7
Polygon,2026-02-20,6071533.624801774,5856143.187081333,30
Arbitrum Inbox,2026-02-21,244885.5039865497,5049016.638466666,2
Optimism,2026-02-21,2481701.232787958,9397409.780862708,17
Polygon,2026-02-21,2531127.4650816666,2531127.4650816666,10
Arbitrum Inbox,2026-02-22,958158.3871889968,215017.6416666667,6
Optimism,2026-02-22,476205.4351166668,699092.1583356642,3
Polygon,2026-02-22,4605703.637600011,4751750.102296675,19
Arbitrum Inbox,2026-02-23,3885548.0097119454,18841338.827456437,8
Optimism,2026-02-23,4290176.992255639,4735812.845545472,11
Polygon,2026-02-23,18165087.406155422,21836106.400918253,117
Arbitrum Inbox,2026-02-24,13436404.919854343,27826212.5,14
Optimism,2026-02-24,12164305.951793106,11751870.635712441,10
Polygon,2026-02-24,7873898.518521838,9947187.871162565,68
Arbitrum Inbox,2026-02-25,6975058.111059159,0,10
Optimism,2026-02-25,3799192.424076463,4131197.1284854105,11
Polygon,2026-02-25,3556970.8610030906,3779518.8795473725,22
Arbitrum Inbox,2026-02-26,8933709.842944214,2611225.3422750006,9
Optimism,2026-02-26,21216906.336585246,20104711.758237645,11
Polygon,2026-02-26,14025780.120909246,14834295.998903697,64
Arbitrum Inbox,2026-02-27,9260534.744376061,24122670.6798,17
Optimism,2026-02-27,9518121.301566666,9518121.301566666,8
Polygon,2026-02-27,13883260.040785577,13883260.040785577,42
Arbitrum Inbox,2026-02-28,577091.896706185,1626095.4274,4
Optimism,2026-02-28,3156330.627111288,2887053.134308333,7
Polygon,2026-02-28,4990440.584882513,4444623.303272644,29
Arbitrum Inbox,2026-03-01,2253695.9922342496,512093.47065000003,9
Optimism,2026-03-01,2064619.8650291287,2064619.8650291287,10
Polygon,2026-03-01,6278336.826114141,8681257.94662834,20
Arbitrum Inbox,2026-03-02,3035761.059672826,1341528.7270916668,7
Optimism,2026-03-02,1831903.2049236232,1986762.1456942637,9
Polygon,2026-03-02,8994210.713321686,8889153.629101815,21
Arbitrum Inbox,2026-03-03,3346701.4234628743,2123043.931825,8
Optimism,2026-03-03,8216371.659393857,7336964.873944353,10
Polygon,2026-03-03,49656720.76092788,47743902.175402045,40
Arbitrum Inbox,2026-03-04,10695008.845287386,0,8
Optimism,2026-03-04,2906631.9550476763,3161552.3009636393,11
Polygon,2026-03-04,4827974.6592143215,4744346.348161509,27
Arbitrum Inbox,2026-03-05,43090146.78253964,53293338.41167501,23
Optimism,2026-03-05,18568739.852958336,18777467.237712406,15
Polygon,2026-03-05,13708209.262003412,17909843.32257615,61
Arbitrum Inbox,2026-03-06,6460053.113653142,0,10
Optimism,2026-03-06,6187699.242431333,2303469.9003833337,8
Polygon,2026-03-06,18892880.348188043,18633102.05902023,72
Arbitrum Inbox,2026-03-07,768250.1241445577,1719819.5919999997,7
Optimism,2026-03-07,2984413.28115,2984413.28115,6
Polygon,2026-03-07,758456.4118557557,1716227.0027948872,11
Arbitrum Inbox,2026-03-08,5163709.218821851,1684232.1744166669,3
Optimism,2026-03-08,0,100483.20123221814,1
Polygon,2026-03-08,989148.595999673,989148.595999673,4
