chain,date,inflow_usd,outflow_usd,tx_count
Arbitrum Inbox,2025-11-28,15863430.833345402,45600474.99999998,17
Optimism,2025-11-28,3800218.962575781,4553837.71135365,10
Polygon,2025-11-28,10437702.667249635,14463459.84550609,74
Arbitrum Inbox,2025-11-29,4686158.67412699,0,13
Optimism,2025-11-29,1159946.3482674565,1542392.458060191,7
Polygon,2025-11-29,35552662.56160714,37260950.493206434,26
Arbitrum Inbox,2025-11-30,1101215.4107569342,0,4
Optimism,2025-11-30,0,209263.27278517597,1
Polygon,2025-11-30,37526734.562894166,37749734.6624633,40
Arbitrum Inbox,2025-12-01,22008352.34393429,56601040.63137499,23
Optimism,2025-12-01,7447110.110409884,7792086.067994361,12
Polygon,2025-12-01,11929796.290833803,10540848.246688534,56
Arbitrum Inbox,2025-12-02,88262863.32274935,0,20
Optimism,2025-12-02,384222.89306560403,0,1
Polygon,2025-12-02,2757090.4992087176,6209991.099350551,22
Arbitrum Inbox,2025-12-03,10796530.945384197,58148911.982949965,11
Optimism,2025-12-03,3133877.3036625227,4615979.880941246,13
Polygon,2025-12-03,18766972.394491687,18388059.64746865,64
Arbitrum Inbox,2025-12-04,14149930.1710278,40515916,15
Optimism,2025-12-04,111588.98333333337,337901.5845946581,3
Polygon,2025-12-04,37630190.154470444,37469891.27447851,32
Arbitrum Inbox,2025-12-05,32032952.452284105,73127957.70559165,14
Optimism,2025-12-05,2397202.5108306543,1180271.1766949242,7
Polygon,2025-12-05,11174996.199732896,11905682.435411088,57
Arbitrum Inbox,2025-12-06,9514936.865311654,0,6
Optimism,2025-12-06,9505872.047617331,8813043.007532703,10
Polygon,2025-12-06,2652790.704012063,3568773.3999805814,21
Arbitrum Inbox,2025-12-07,1622729.327000613,0,6
Optimism,2025-12-07,514821.7580247451,0,1
Polygon,2025-12-07,1914374.5836281397,1805731.418120336,14
Arbitrum Inbox,2025-12-08,12040145.434334194,0,15
Optimism,2025-12-08,5279149.618937878,5857754.370483334,9
Polygon,2025-12-08,397895.91803763574,3226811.032646664,16
Arbitrum Inbox,2025-12-09,11633214.808426239,33345005.166666675,11
Optimism,2025-12-09,4163915.0486500002,34176390.04865,7
Polygon,2025-12-09,2262121.5002665143,4217095.998047747,22
Arbitrum Inbox,2025-12-10,6158847.837729739,53261720.00000002,9
Optimism,2025-12-10,3216541.728064774,3216541.728064774,20
Polygon,2025-12-10,2036916.7384598032,4593094.325726663,19
Arbitrum Inbox,2025-12-11,20833497.668270785,2654888.6375071625,21
Optimism,2025-12-11,8674822.220225967,1934333.9108237498,9
Polygon,2025-12-11,6792053.05143837,9084916.42264738,36
Arbitrum Inbox,2025-12-12,25248391.06051092,0,20
Optimism,2025-12-12,3388894.8206510814,345564.7121396992,11
Polygon,2025-12-12,5847282.959562,6239977.012085628,30
Arbitrum Inbox,2025-12-13,1575834.8279456154,0,4
Optimism,2025-12-13,2700475.7973333327,2700475.7973333327,2
Polygon,2025-12-13,2455641.351468907,2579147.037923913,21
Arbitrum Inbox,2025-12-14,3903297.537997916,126410.38437213459,5
Optimism,2025-12-14,1587807.3947114297,1479578.6951276683,7
Polygon,2025-12-14,3416218.5834494126,3613800.0951986676,13
Arbitrum Inbox,2025-12-15,14529873.943406383,0,12
Optimism,2025-12-15,1825090.877093668,1752068.2878551378,8
Polygon,2025-12-15,116549037.96417837,114117262.17295825,65
Arbitrum Inbox,2025-12-16,17371598.961855724,18978843.687216666,15
Optimism,2025-12-16,252901.19303913816,426416.1273986867,5
Polygon,2025-12-16,4931757.605922159,6408974.665646933,31
Arbitrum Inbox,2025-12-17,3433905.0622456484,590158.5,6
Optimism,2025-12-17,3774516.978663478,933893.9873957434,14
Polygon,2025-12-17,1983384.5415982036,1435986.4016968561,13
Arbitrum Inbox,2025-12-18,6205573.423018256,50896506.48,8
Optimism,2025-12-18,8973165.040603101,6143240.632686668,7
Polygon,2025-12-18,2145731.2168068276,2031883.831064171,16
Arbitrum Inbox,2025-12-19,8532487.818421792,74330541.66666663,18
Optimism,2025-12-19,322407.4561498532,163793.8602054339,3
Polygon,2025-12-19,7478284.185698382,7222462.8350193,37
