token,tx_count,volume
WETH,133518,2727673160606.3926
USDC,75764,1575920345322.1348
WBTC,6195,1113668507363.7603
USDT,56557,644169492426.9407
ETH,28668,143272641705.8742
DAI,5183,98122112928.90878
crvUSD,16506,94970630548.137
USDS,6662,74064322882.96704
sUSDS,1832,24867907244.687298
wstETH,3251,14703506923.424286
PYUSD,3107,13544914704.3743
aEthUSDC,1760,12840087930.779036
cbBTC,1286,12015888084.36631
USD1,874,6370760169.073195
stETH,1386,6019731078.855275
