date,whale_count,whale_volume_usd
2026-01-25 00:00:00.000 UTC,10990,319718154635.0444
2026-01-26 00:00:00.000 UTC,12146,232356971952.9455
2026-01-27 00:00:00.000 UTC,11530,194297277708.29865
2026-01-28 00:00:00.000 UTC,10890,183157485395.16547
2026-01-29 00:00:00.000 UTC,12701,201122173588.81464
2026-01-30 00:00:00.000 UTC,12403,173358657150.80484
2026-01-31 00:00:00.000 UTC,12539,202492191873.49445
2026-02-01 00:00:00.000 UTC,10303,176356372704.10062
2026-02-02 00:00:00.000 UTC,14774,179946944229.33957
2026-02-03 00:00:00.000 UTC,12714,222453191110.7995
2026-02-04 00:00:00.000 UTC,13337,197739567336.61462
2026-02-05 00:00:00.000 UTC,20082,277166059049.13446
2026-02-06 00:00:00.000 UTC,25895,220129318888.6959
2026-02-07 00:00:00.000 UTC,9972,174078241663.10678
2026-02-08 00:00:00.000 UTC,7908,170896411863.60553
2026-02-09 00:00:00.000 UTC,11849,192802699644.79782
2026-02-10 00:00:00.000 UTC,11447,168236891901.04572
2026-02-11 00:00:00.000 UTC,12964,242476526191.92438
2026-02-12 00:00:00.000 UTC,13432,193066291736.97885
2026-02-13 00:00:00.000 UTC,11738,141805307382.44315
2026-02-14 00:00:00.000 UTC,8049,126451268073.67651
2026-02-15 00:00:00.000 UTC,9786,152576182629.033
2026-02-16 00:00:00.000 UTC,9223,137500326684.20123
2026-02-17 00:00:00.000 UTC,9659,145318548734.23883
2026-02-18 00:00:00.000 UTC,9558,199880856421.3781
2026-02-19 00:00:00.000 UTC,10137,207621902622.93768
2026-02-20 00:00:00.000 UTC,13132,287388535948.22296
2026-02-21 00:00:00.000 UTC,9245,283738900766.1467
2026-02-22 00:00:00.000 UTC,7887,251465188532.3277
2026-02-23 00:00:00.000 UTC,14793,349470484974.46027
2026-02-24 00:00:00.000 UTC,14350,282224144446.241
2026-02-25 00:00:00.000 UTC,13078,238532337782.2171
2026-02-26 00:00:00.000 UTC,11990,239946204047.54593
2026-02-27 00:00:00.000 UTC,11327,224962586720.4599
2026-02-28 00:00:00.000 UTC,7896,224842903820.45795
2026-03-01 00:00:00.000 UTC,8392,210014328284.81207
2026-03-02 00:00:00.000 UTC,12851,228728093112.7118
2026-03-03 00:00:00.000 UTC,13022,226533627117.53506
2026-03-04 00:00:00.000 UTC,15001,244408422542.5113
2026-03-05 00:00:00.000 UTC,13559,236416364311.86276
2026-03-06 00:00:00.000 UTC,11369,258210620156.29483
2026-03-07 00:00:00.000 UTC,8526,217903352037.141
2026-03-08 00:00:00.000 UTC,3920,116782892700.88867
